,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
0,NA1_4170259244,67,62,120,159705,154051,1141,74952,3,3,2,0,1,0,1
1,NA1_4170259244,62,67,139,134072,165349,1130,71605,1,1,2,1,1,2,0
2,NA1_4170247360,24,12,70,38741,34321,1128,38547,1,0,2,2,2,0,1
3,NA1_4170247360,12,24,28,28424,40546,1182,31392,1,3,2,1,0,1,0
4,NA1_4170186384,72,66,203,218941,215416,811,95289,2,1,3,1,0,1,1
5,NA1_4170186384,65,72,130,203182,234797,1063,90219,2,3,0,1,1,1,0
6,NA1_4169053248,56,41,132,111133,143514,941,71014,1,3,2,1,1,1,1
7,NA1_4169053248,40,56,70,133380,121746,1204,65615,3,2,1,2,0,0,0
8,NA1_4168989203,77,42,161,154596,120650,1693,85907,1,2,2,1,0,1,1
9,NA1_4168989203,40,77,56,110443,165264,1178,72933,2,4,2,1,1,0,0
10,NA1_4166961639,69,61,119,190975,167407,1541,98080,3,2,2,2,0,0,1
11,NA1_4166961639,61,69,116,159122,198946,1091,93612,1,2,4,0,1,1,0
12,NA1_4166947401,46,45,115,113599,117728,1064,70080,1,1,2,2,1,1,1
13,NA1_4166947401,44,46,100,111858,127520,801,67165,2,2,3,0,1,1,0
14,NA1_4166493809,51,37,101,128784,104903,1420,62650,2,2,2,0,1,1,1
15,NA1_4166493809,37,51,88,95606,136627,1109,58236,0,1,3,0,3,2,0
16,NA1_4166481143,57,33,126,116000,89976,1445,71427,0,0,2,2,2,0,1
17,NA1_4166481143,33,57,67,81033,122096,1192,63424,1,2,4,1,1,1,0
18,NA1_4166449340,45,26,126,79775,72517,1260,55395,3,1,3,0,1,1,1
19,NA1_4166449340,26,46,58,63387,90217,1098,48052,2,2,2,1,1,1,0
20,NA1_4166428052,18,14,56,32634,25608,1404,32638,1,1,3,2,1,0,1
21,NA1_4166428052,14,18,33,22039,34892,1331,28257,1,2,2,1,1,2,0
22,NA1_4166475032,47,55,104,113491,142837,1578,69969,0,1,1,2,1,2,1
23,NA1_4166475032,55,47,118,124649,118908,1310,66924,2,1,2,3,1,0,0
24,NA1_4164771873,27,20,79,52368,45385,1009,42139,2,1,2,2,1,0,1
25,NA1_4164771873,20,27,38,42015,55175,1099,39326,2,2,3,0,0,2,0
26,NA1_4164707193,45,35,130,123112,119574,1458,67603,1,3,1,1,1,2,1
27,NA1_4164707193,35,45,83,109606,138521,1216,64175,3,4,0,1,0,1,0
28,NA1_4164626185,58,38,135,138493,140309,874,78137,2,2,3,0,1,0,1
29,NA1_4164626185,38,58,69,130837,153822,1290,71939,2,2,3,1,1,1,0
30,NA1_4163901752,41,24,107,100904,72687,595,56363,2,2,3,0,1,1,1
31,NA1_4163901752,24,41,54,64507,110720,1825,49808,1,3,1,2,0,2,0
32,NA1_4163849237,64,48,118,129015,128682,927,75198,1,3,1,2,0,2,1
33,NA1_4163849237,48,64,104,117982,136092,768,69856,2,0,2,2,0,0,0
34,NA1_4163838137,52,32,141,122820,96054,1536,61560,1,1,3,1,1,1,1
35,NA1_4163838137,31,52,70,89447,130313,1081,56509,2,0,2,2,1,1,0
