Rank,PLAYER,POS,TEAM,TOTAL
1,Joel Embiid,C,PHI,17.38
2,Shai Gilgeous-Alexander,PG+SG,OKC,16.82
3,Nikola Jokic,C,DEN,13.6
4,Luka Doncic,PG,DAL,12.3
5,Anthony Davis,PF+C,LAL,11.6
6,Kevin Durant,SF+PF,PHO,11.45
7,Tyrese Haliburton,PG+SG,IND,9.52
8,James Harden,PG+SG,LAC,9.44
9,Trae Young,PG,ATL,9.34
10,Victor Wembanyama,PF+C,SA,9.22
11,Damian Lillard,PG,MIL,9.13
12,Kawhi Leonard,SG+SF+PF,LAC,9.02
13,Scottie Barnes,SG+SF+PF,TOR,8.85
14,Chet Holmgren,PF+C,OKC,8.81
15,LaMelo Ball,PG+SG,CHA,8.12
16,Karl-Anthony Towns,PF+C,MIN,8.1
17,Devin Booker,PG+SG+SF,PHO,7.99
18,Stephen Curry,PG+SG,GS,7.92
19,Tyrese Maxey,PG+SG,PHI,7.83
20,Kyrie Irving,PG+SG,DAL,7.54
21,Bam Adebayo,C,MIA,7.36
22,Donovan Mitchell,PG+SG,CLE,6.73
23,Giannis Antetokounmpo,PF+C,MIL,6.45
24,Paul George,SG+SF+PF,LAC,6.4
25,Jayson Tatum,SF+PF,BOS,6.33
26,Derrick White,PG+SG,BOS,6.22
27,Lauri Markkanen,SF+PF,UTA,5.9
28,De'Aaron Fox,PG,SAC,5.85
29,Terry Rozier,PG+SG,CHA,5.34
30,Brook Lopez,C,MIL,5.2
31,Desmond Bane,SG+SF,MEM,5.11
32,Domantas Sabonis,PF+C,SAC,4.97
33,Anthony Edwards,SG+SF,MIN,4.89
34,Jalen Brunson,PG,NY,4.84
35,Jimmy Butler,SF+PF,MIA,4.83
36,Myles Turner,C,IND,4.79
37,Kristaps Porzingis,PF+C,BOS,4.65
38,Fred VanVleet,PG,HOU,4.6
39,LeBron James,SF+PF,LAL,4.41
40,Jrue Holiday,PG+SG,BOS,4.38
41,Darius Garland,PG,CLE,4.33
42,Rudy Gobert,C,MIN,4.32
43,Jaren Jackson Jr.,PF+C,MEM,4.3
44,Coby White,PG+SG,CHI,4.2
