,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Time CC'ed,Total Gold Earned,First Blood Turret,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
0,3633340047W,43,60,97,388195,187097,234,70087,0,2,0,3,1,0,3,WIN
1,3633340047L,58,43,170,424275,146323,179,71260,1,0,2,4,1,3,0,LOSS
2,3633340047W,39,42,93,327363,149827,156,65735,1,1,2,2,1,2,2,WIN
3,3633340047L,42,39,98,338459,133510,192,62729,0,2,1,4,0,2,0,LOSS
4,3633340047W,43,33,92,273766,91827,97,57130,1,0,2,3,1,0,1,WIN
5,3633340047L,32,43,56,261536,89439,110,52361,0,2,4,1,0,0,2,LOSS
6,3633340047W,41,42,91,226358,102199,51,55065,0,2,3,2,1,0,0,WIN
7,3633340047L,42,41,93,224109,92767,52,53609,1,1,1,0,3,1,0,LOSS
8,3633340047W,41,25,111,182584,68565,74,46395,1,1,3,0,1,0,2,WIN
9,3633340047L,25,41,71,150367,76142,102,40136,0,1,2,3,0,1,1,LOSS
10,3633340047W,42,40,89,312673,135137,150,66309,1,0,2,3,0,2,1,WIN
11,3633340047L,40,42,93,315471,117277,75,62317,0,1,1,2,3,0,1,LOSS
12,3633340047W,55,45,136,372337,116847,102,66831,0,0,1,4,2,1,0,WIN
13,3633340047L,45,55,112,313070,121196,79,64132,1,1,2,2,2,2,0,LOSS
14,3633340047W,40,23,104,170866,59078,148,47075,1,0,1,1,2,2,2,WIN
15,3633340047L,23,40,58,125707,71552,64,40179,0,1,3,2,0,2,1,LOSS
16,3633340047W,56,39,149,319343,152311,258,64585,1,0,0,3,2,2,2,WIN
17,3633340047L,39,56,101,316495,141986,194,60627,0,1,1,3,1,2,1,LOSS
18,3633340047W,46,29,131,270549,70582,93,57402,1,1,2,2,1,2,1,WIN
19,3633340047L,29,46,55,192604,104182,57,49901,0,1,2,1,1,0,1,LOSS
20,3633340047W,42,26,89,223701,76958,87,50127,1,2,3,3,0,1,0,WIN
21,3633340047L,26,42,63,172497,85655,95,44887,0,0,2,1,2,2,2,LOSS
22,3633340047W,43,32,100,247165,92011,156,56951,1,1,2,1,2,1,2,WIN
23,3633340047L,32,43,69,229319,106629,128,49756,0,1,3,0,2,0,2,LOSS
24,3633340047W,38,21,99,223275,56791,92,49620,1,1,2,2,1,1,0,WIN
25,3633340047L,21,38,40,170936,82055,117,44486,0,2,2,3,0,2,1,LOSS
26,3633340047W,33,25,75,217827,68870,49,48583,1,1,2,2,1,0,1,WIN
27,3633340047L,25,33,50,175293,72323,84,46307,0,1,0,3,4,1,0,LOSS
28,3633340047W,55,54,99,490193,179165,199,83752,0,1,3,4,1,1,0,WIN
29,3633340047L,54,55,119,564680,162758,193,82768,1,1,2,4,1,2,0,LOSS
30,3633340047W,47,44,118,379326,124201,135,69110,1,0,1,3,1,2,2,WIN
31,3633340047L,43,47,91,330893,141345,106,64174,0,3,2,1,1,0,1,LOSS
32,3633340047W,63,47,136,511206,148958,170,79676,1,1,1,2,3,1,0,WIN
33,3633340047L,47,63,86,430860,174290,133,75554,0,1,3,2,2,0,1,LOSS
34,3633340047W,39,35,103,422694,118278,63,71814,1,0,4,1,1,0,2,WIN
35,3633340047L,34,39,91,359685,107596,113,69789,0,1,1,3,3,1,1,LOSS
36,3633340047W,42,28,111,254933,69175,117,56901,0,1,0,5,2,2,0,WIN
37,3633340047L,28,42,50,232827,101430,73,52587,1,3,1,3,1,1,0,LOSS
38,3633340047W,35,53,76,439529,154615,131,68409,0,1,3,1,1,0,3,WIN
39,3633340047L,53,36,142,390479,144726,143,69045,1,0,2,3,2,2,0,LOSS
40,3633340047W,35,20,95,185546,68903,152,49430,1,0,2,1,2,1,2,WIN
41,3633340047L,20,35,44,173504,73960,62,43928,0,1,0,3,3,0,1,LOSS
42,3633340047W,65,60,170,476457,239420,373,80224,1,0,1,2,2,2,2,WIN
43,3633340047L,60,65,128,497789,173644,209,77869,0,1,2,2,1,1,1,LOSS
44,3633340047W,50,38,152,283132,107196,203,58580,1,2,1,2,1,2,1,WIN
45,3633340047L,38,51,84,256616,147219,115,54119,0,2,3,2,1,0,2,LOSS
46,3633340047W,39,31,106,214152,106246,86,53583,1,1,4,1,1,0,3,WIN
47,3633340047L,31,39,74,239243,88995,157,47947,0,0,1,3,1,2,2,LOSS
48,3633340047W,21,8,70,89437,24659,64,30101,1,2,2,1,2,2,0,WIN
49,3633340047L,8,21,15,41180,31943,39,23186,0,1,2,1,2,1,2,LOSS
50,3633340047W,44,46,106,404074,148767,123,73855,0,1,3,2,0,2,2,WIN
51,3633340047L,46,44,98,392163,116787,217,72114,1,0,1,3,3,0,1,LOSS
52,3633340047W,66,53,139,671527,216582,273,94056,1,0,1,3,1,1,2,WIN
53,3633340047L,53,66,108,715962,198565,146,89418,0,3,2,3,1,1,0,LOSS
54,3633340047W,48,42,116,296546,140594,163,64287,0,0,2,3,0,2,2,WIN
55,3633340047L,42,48,100,304360,121397,143,59673,0,1,2,2,1,1,1,LOSS
56,3633340047W,46,43,118,278737,104768,135,60774,1,0,1,3,2,1,1,WIN
