,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
0,NA1_4170259244,67,62,120,159705,154051,1141,228.2,74952,3,3,2,0,1,0,1,WIN
1,NA1_4170259244,62,67,139,134072,165349,1130,226,71605,1,1,2,1,1,2,0,LOSS
2,NA1_4170247360,24,12,70,38741,34321,1128,225.6,38547,1,0,2,2,2,0,1,WIN
3,NA1_4170247360,12,24,28,28424,40546,1182,236.4,31392,1,3,2,1,0,1,0,LOSS
4,NA1_4170186384,72,66,203,218941,215416,811,162.2,95289,2,1,3,1,0,1,1,WIN
5,NA1_4170186384,65,72,130,203182,234797,1063,212.6,90219,2,3,0,1,1,1,0,LOSS
6,NA1_4169053248,56,41,132,111133,143514,941,188.2,71014,1,3,2,1,1,1,1,WIN
7,NA1_4169053248,40,56,70,133380,121746,1204,240.8,65615,3,2,1,2,0,0,0,LOSS
8,NA1_4168989203,77,42,161,154596,120650,1693,338.6,85907,1,2,2,1,0,1,1,WIN
9,NA1_4168989203,40,77,56,110443,165264,1178,235.6,72933,2,4,2,1,1,0,0,LOSS
10,NA1_4166961639,69,61,119,190975,167407,1541,308.2,98080,3,2,2,2,0,0,1,WIN
11,NA1_4166961639,61,69,116,159122,198946,1091,218.2,93612,1,2,4,0,1,1,0,LOSS
12,NA1_4166947401,46,45,115,113599,117728,1064,212.8,70080,1,1,2,2,1,1,1,WIN
13,NA1_4166947401,44,46,100,111858,127520,801,160.2,67165,2,2,3,0,1,1,0,LOSS
14,NA1_4166493809,51,37,101,128784,104903,1420,284,62650,2,2,2,0,1,1,1,WIN
15,NA1_4166493809,37,51,88,95606,136627,1109,221.8,58236,0,1,3,0,3,2,0,LOSS
16,NA1_4166481143,57,33,126,116000,89976,1445,289,71427,0,0,2,2,2,0,1,WIN
17,NA1_4166481143,33,57,67,81033,122096,1192,238.4,63424,1,2,4,1,1,1,0,LOSS
18,NA1_4166449340,45,26,126,79775,72517,1260,252,55395,3,1,3,0,1,1,1,WIN
