,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
1,1,NA1_4170259244,62,67,139,134072,165349,226,226,71605,1,1,2,1,1,2,0,LOSS
3,3,NA1_4170247360,12,24,28,28424,40546,236.4,236.4,31392,1,3,2,1,0,1,0,LOSS
5,5,NA1_4170186384,65,72,130,203182,234797,212.6,212.6,90219,2,3,0,1,1,1,0,LOSS
7,7,NA1_4169053248,40,56,70,133380,121746,240.8,240.8,65615,3,2,1,2,0,0,0,LOSS
9,9,NA1_4168989203,40,77,56,110443,165264,235.6,235.6,72933,2,4,2,1,1,0,0,LOSS
11,11,NA1_4166961639,61,69,116,159122,198946,218.2,218.2,93612,1,2,4,0,1,1,0,LOSS
13,13,NA1_4166947401,44,46,100,111858,127520,160.2,160.2,67165,2,2,3,0,1,1,0,LOSS
15,15,NA1_4166493809,37,51,88,95606,136627,221.8,221.8,58236,0,1,3,0,3,2,0,LOSS
17,17,NA1_4166481143,33,57,67,81033,122096,238.4,238.4,63424,1,2,4,1,1,1,0,LOSS
19,19,NA1_4166449340,26,46,58,63387,90217,219.6,219.6,48052,2,2,2,1,1,1,0,LOSS
21,21,NA1_4166428052,14,18,33,22039,34892,266.2,266.2,28257,1,2,2,1,1,2,0,LOSS
23,23,NA1_4166475032,55,47,118,124649,118908,262,262,66924,2,1,2,3,1,0,0,LOSS
25,25,NA1_4164771873,20,27,38,42015,55175,219.8,219.8,39326,2,2,3,0,0,2,0,LOSS
27,27,NA1_4164707193,35,45,83,109606,138521,243.2,243.2,64175,3,4,0,1,0,1,0,LOSS
29,29,NA1_4164626185,38,58,69,130837,153822,258,258,71939,2,2,3,1,1,1,0,LOSS
31,31,NA1_4163901752,24,41,54,64507,110720,365,365,49808,1,3,1,2,0,2,0,LOSS
33,33,NA1_4163849237,48,64,104,117982,136092,153.6,153.6,69856,2,0,2,2,0,0,0,LOSS
35,35,NA1_4163838137,31,52,70,89447,130313,216.2,216.2,56509,2,0,2,2,1,1,0,LOSS
37,37,NA1_4163805465,44,48,88,110661,152032,267.2,267.2,69230,1,3,2,0,0,3,0,LOSS
39,39,NA1_4163755764,36,38,117,119038,125995,385.2,385.2,61101,3,2,1,1,2,1,0,LOSS
41,41,NA1_4162715469,33,45,65,57134,81241,208.6,208.6,45207,2,2,3,0,1,1,0,LOSS
43,43,NA1_4162712623,33,42,76,63527,87012,427.2,427.2,47561,2,5,0,0,1,2,0,LOSS
45,45,NA1_4162562818,38,56,89,111649,177510,164.6,164.6,68040,1,3,2,0,0,3,0,LOSS
47,47,NA1_4162534806,56,69,101,144706,197337,203.6,203.6,78059,2,2,3,0,1,1,0,LOSS
49,49,NA1_4162439544,16,28,36,46066,64441,290,290,43307,2,2,3,0,1,0,0,LOSS
51,51,NA1_4162490402,18,36,37,29089,59572,122,122,34064,3,2,0,3,1,0,0,LOSS
53,53,NA1_4162038481,54,62,89,164077,162174,102.6,102.6,78154,2,1,3,0,1,1,0,LOSS
55,55,NA1_4162082100,29,45,73,66041,84234,275.2,275.2,47468,2,1,3,1,2,1,0,LOSS
57,57,NA1_4162022382,28,46,59,52855,101666,362,362,42923,0,3,2,1,2,2,0,LOSS
59,59,NA1_4161487303,57,76,139,169592,215205,277,277,76804,2,2,1,2,0,2,0,LOSS
61,61,NA1_4160824003,50,52,96,120059,125333,256,256,72406,2,0,3,2,1,0,0,LOSS
63,63,NA1_4160820388,34,46,72,88590,131703,228.4,228.4,60304,2,2,2,0,0,2,0,LOSS
65,65,NA1_4160767361,37,47,71,68132,103801,265.2,265.2,53268,3,5,1,0,0,1,0,LOSS
67,67,NA1_4159527818,52,46,118,126468,122463,283,283,75167,3,2,1,1,1,0,0,LOSS
69,69,NA1_4159532429,31,40,78,74569,79290,338.4,338.4,53108,0,1,3,2,0,1,0,LOSS
71,71,NA1_4159480552,42,43,113,135557,114643,206.8,206.8,67664,1,2,2,1,1,0,0,LOSS
73,73,NA1_4159454304,62,68,130,161659,196581,173.8,173.8,83728,0,0,2,3,2,1,0,LOSS
75,75,NA1_4158828721,35,45,72,71042,106287,305,305,54678,4,4,0,1,0,1,0,LOSS
77,77,NA1_4158797186,45,55,113,135628,170862,129.2,129.2,70487,2,3,3,1,1,0,0,LOSS
79,79,NA1_4158791308,45,62,123,206566,186100,111.8,111.8,73559,0,2,2,1,1,3,0,LOSS
81,81,NA1_4158726793,40,38,100,93680,141068,155,155,60911,0,0,2,2,3,1,0,LOSS
83,83,NA1_4157286757,39,47,89,96660,107415,227.4,227.4,60147,2,2,3,0,2,0,0,LOSS
85,85,NA1_4157119683,56,55,130,134894,180336,244,244,79144,2,2,2,1,1,1,0,LOSS
87,87,NA1_4156240599,39,46,90,99204,114818,170.6,170.6,58043,2,0,4,0,1,1,0,LOSS
89,89,NA1_4156177048,35,55,63,98827,117110,307.6,307.6,58393,1,3,2,2,0,1,0,LOSS
91,91,NA1_4155794203,33,60,81,83115,158474,250.8,250.8,57527,1,2,2,1,1,1,0,LOSS
93,93,NA1_4155800090,32,40,72,69560,78346,310,310,46944,2,2,2,2,0,1,0,LOSS
95,95,NA1_4155446407,50,57,97,120658,147258,203.2,203.2,70393,2,2,3,1,0,1,0,LOSS
97,97,NA1_4155454207,36,37,73,108766,98478,187.2,187.2,62184,2,2,1,1,1,0,0,LOSS
99,99,NA1_4155389500,50,55,118,115026,123707,346.6,346.6,70789,1,0,1,3,2,0,0,LOSS
101,101,NA1_4155366153,27,42,67,69802,103958,187.2,187.2,57030,1,1,2,1,2,2,0,LOSS
103,103,NA1_4155363286,25,48,82,92759,124537,304.4,304.4,54027,1,2,2,0,2,3,0,LOSS
105,105,NA1_4155338373,32,61,60,69892,163944,194.6,194.6,57184,0,3,3,1,0,3,0,LOSS
107,107,NA1_4155236546,62,61,143,146268,146306,345.6,345.6,74229,0,2,2,2,1,0,0,LOSS
109,109,NA1_4152419649,33,46,77,92700,136906,243.2,243.2,61416,2,2,2,1,1,1,0,LOSS
111,111,NA1_4152417179,36,56,86,78812,137505,243,243,52289,0,3,2,0,2,3,0,LOSS
113,113,NA1_4152385492,51,68,119,149262,168249,215,215,71334,1,2,2,1,1,0,0,LOSS
115,115,NA1_4152381074,54,57,110,122388,135232,117.8,117.8,66464,1,0,5,2,1,0,0,LOSS
117,117,NA1_4151296059,52,56,103,130831,136612,297.4,297.4,67012,3,3,1,2,1,0,0,LOSS
119,119,NA1_4141369519,58,80,104,163987,272296,181.8,181.8,92953,2,2,3,0,0,1,0,LOSS
121,121,NA1_4141363627,60,65,119,163039,171135,237.4,237.4,82578,0,0,4,3,0,0,0,LOSS
123,123,NA1_4139998389,39,58,85,92283,139139,377.2,377.2,63087,0,0,2,3,2,1,0,LOSS
125,125,NA1_4140032784,52,66,110,123994,164702,161,161,65375,2,1,2,1,1,2,0,LOSS
127,127,NA1_4139965605,41,48,91,101765,137104,222.8,222.8,72632,1,1,2,2,2,0,0,LOSS
129,129,NA1_4139622146,52,53,102,117922,121271,237.6,237.6,76716,2,0,3,1,1,0,0,LOSS
131,131,NA1_4139049884,48,41,108,113217,132219,243.2,243.2,70924,1,1,2,3,0,1,0,LOSS
133,133,NA1_4139025256,43,59,90,109903,120282,286,286,62200,3,1,2,1,1,0,0,LOSS
135,135,NA1_4139011663,32,34,77,76288,102568,201,201,52158,0,3,1,1,1,2,0,LOSS
137,137,NA1_4138957282,48,54,108,127515,145825,289,289,67768,2,2,2,0,2,1,0,LOSS
139,139,NA1_4138932866,51,50,121,149777,161156,224,224,70233,2,4,2,0,1,1,0,LOSS
141,141,NA1_4138868355,49,54,112,123029,124453,232.8,232.8,71316,2,1,2,1,1,1,0,LOSS
143,143,NA1_4138782275,43,57,70,146733,251341,237.6,237.6,92848,1,1,2,2,1,1,0,LOSS
145,145,NA1_4136356846,26,35,55,85941,101541,260.4,260.4,49879,2,3,0,0,0,1,0,LOSS
147,147,NA1_4136165299,36,42,83,80097,84996,367.8,367.8,50923,1,0,4,1,2,1,0,LOSS
149,149,NA1_4136141711,54,49,125,111602,145220,216,216,66879,3,2,2,1,1,0,0,LOSS
151,151,NA1_4135456843,29,35,94,111152,98493,355,355,52266,1,1,3,1,3,1,0,LOSS
