,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
0,0,NA1_4170259244,67,62,120,159705,154051,228.2,228.2,74952,3,3,2,0,1,0,1,WIN
2,2,NA1_4170247360,24,12,70,38741,34321,225.6,225.6,38547,1,0,2,2,2,0,1,WIN
4,4,NA1_4170186384,72,66,203,218941,215416,162.2,162.2,95289,2,1,3,1,0,1,1,WIN
6,6,NA1_4169053248,56,41,132,111133,143514,188.2,188.2,71014,1,3,2,1,1,1,1,WIN
8,8,NA1_4168989203,77,42,161,154596,120650,338.6,338.6,85907,1,2,2,1,0,1,1,WIN
10,10,NA1_4166961639,69,61,119,190975,167407,308.2,308.2,98080,3,2,2,2,0,0,1,WIN
12,12,NA1_4166947401,46,45,115,113599,117728,212.8,212.8,70080,1,1,2,2,1,1,1,WIN
14,14,NA1_4166493809,51,37,101,128784,104903,284,284,62650,2,2,2,0,1,1,1,WIN
16,16,NA1_4166481143,57,33,126,116000,89976,289,289,71427,0,0,2,2,2,0,1,WIN
18,18,NA1_4166449340,45,26,126,79775,72517,252,252,55395,3,1,3,0,1,1,1,WIN
20,20,NA1_4166428052,18,14,56,32634,25608,280.8,280.8,32638,1,1,3,2,1,0,1,WIN
22,22,NA1_4166475032,47,55,104,113491,142837,315.6,315.6,69969,0,1,1,2,1,2,1,WIN
24,24,NA1_4164771873,27,20,79,52368,45385,201.8,201.8,42139,2,1,2,2,1,0,1,WIN
26,26,NA1_4164707193,45,35,130,123112,119574,291.6,291.6,67603,1,3,1,1,1,2,1,WIN
28,28,NA1_4164626185,58,38,135,138493,140309,174.8,174.8,78137,2,2,3,0,1,0,1,WIN
30,30,NA1_4163901752,41,24,107,100904,72687,119,119,56363,2,2,3,0,1,1,1,WIN
32,32,NA1_4163849237,64,48,118,129015,128682,185.4,185.4,75198,1,3,1,2,0,2,1,WIN
34,34,NA1_4163838137,52,32,141,122820,96054,307.2,307.2,61560,1,1,3,1,1,1,1,WIN
36,36,NA1_4163805465,48,45,125,141527,116584,253.8,253.8,71788,0,0,3,3,0,0,1,WIN
38,38,NA1_4163755764,38,36,120,115557,133169,208.2,208.2,63522,1,3,2,0,1,3,1,WIN
40,40,NA1_4162715469,45,33,87,78406,63896,316,316,51820,2,2,0,2,0,0,1,WIN
42,42,NA1_4162712623,42,33,106,83520,75713,206.4,206.4,52516,3,2,2,1,1,1,1,WIN
44,44,NA1_4162562818,55,38,125,166202,118152,264.2,264.2,73155,0,3,3,1,0,2,1,WIN
46,46,NA1_4162534806,69,56,164,186559,152200,206.4,206.4,82606,0,1,3,1,2,2,1,WIN
48,48,NA1_4162439544,28,16,59,60669,54029,219.6,219.6,51145,4,2,2,1,0,0,1,WIN
50,50,NA1_4162490402,36,18,91,56317,35689,292.4,292.4,41033,2,1,2,1,2,0,1,WIN
52,52,NA1_4162038481,61,54,128,150907,171335,252.4,252.4,82698,3,2,2,1,1,1,1,WIN
54,54,NA1_4162082100,45,29,111,79613,72153,277.8,277.8,55391,1,2,2,2,1,1,1,WIN
56,56,NA1_4162022382,46,29,131,95696,56570,190.2,190.2,50735,1,0,3,1,2,0,1,WIN
58,58,NA1_4161487303,76,59,158,204438,193032,306.2,306.2,79256,2,4,1,1,0,2,1,WIN
60,60,NA1_4160824003,52,50,99,119881,130200,96,96,76464,1,1,3,2,0,2,1,WIN
62,62,NA1_4160820388,46,34,114,123624,103436,245.6,245.6,64802,2,2,3,0,0,2,1,WIN
64,64,NA1_4160767361,47,37,128,96486,73852,297.4,297.4,55338,1,0,3,2,2,0,1,WIN
66,66,NA1_4159527818,46,52,101,107342,137150,287.8,287.8,74411,2,2,3,1,1,0,1,WIN
68,68,NA1_4159532429,40,32,82,74647,84875,270.4,270.4,55401,2,3,1,1,0,2,1,WIN
70,70,NA1_4159480552,43,42,116,107364,145435,118.4,118.4,70400,1,3,1,1,2,1,1,WIN
72,72,NA1_4159454304,68,62,102,183479,180378,254,254,85420,3,2,2,2,0,0,1,WIN
74,74,NA1_4158828721,45,36,119,96455,75914,300.4,300.4,57932,3,0,2,3,2,0,1,WIN
76,76,NA1_4158797186,55,45,157,159709,143476,352,352,75630,1,1,2,2,1,1,1,WIN
78,78,NA1_4158791308,62,45,178,175844,225134,170.8,170.8,79754,2,2,3,0,1,2,1,WIN
80,80,NA1_4158726793,38,40,106,129712,100498,274.6,274.6,61856,2,1,1,2,1,1,1,WIN
82,82,NA1_4157286757,47,39,107,101091,106217,271.2,271.2,63370,1,1,2,2,0,1,1,WIN
84,84,NA1_4157119683,55,56,137,173866,149990,210.8,210.8,81553,2,3,1,1,1,1,1,WIN
86,86,NA1_4156240599,46,39,114,108342,110319,301.8,301.8,62951,2,1,3,1,0,1,1,WIN
88,88,NA1_4156177048,55,35,138,109815,109693,217.8,217.8,63460,1,3,2,1,1,2,1,WIN
90,90,NA1_4155794203,60,34,157,148582,93399,348.6,348.6,66291,2,1,2,1,2,0,1,WIN
92,92,NA1_4155800090,40,33,75,72867,80897,219,219,50905,2,2,1,2,0,1,1,WIN
94,94,NA1_4155446407,57,50,128,135889,125871,189.4,189.4,73419,1,2,1,2,0,1,1,WIN
96,96,NA1_4155454207,37,36,97,91953,122633,229.6,229.6,65417,1,3,3,0,1,1,1,WIN
98,98,NA1_4155389500,55,50,105,120541,128614,304,304,74756,0,3,1,2,2,0,1,WIN
100,100,NA1_4155366153,41,27,130,96396,78246,266.2,266.2,62128,0,0,4,1,2,1,1,WIN
